E:\IMG\center_2025_12_06_23_25_06_618.jpg,E:\IMG\left_2025_12_06_23_25_06_618.jpg,E:\IMG\right_2025_12_06_23_25_06_618.jpg,0,0,0,5.251161E-05
E:\IMG\center_2025_12_06_23_25_06_691.jpg,E:\IMG\left_2025_12_06_23_25_06_691.jpg,E:\IMG\right_2025_12_06_23_25_06_691.jpg,0,0,0,1.514309E-05
E:\IMG\center_2025_12_06_23_25_06_765.jpg,E:\IMG\left_2025_12_06_23_25_06_765.jpg,E:\IMG\right_2025_12_06_23_25_06_765.jpg,0,0,0,7.412117E-05
E:\IMG\center_2025_12_06_23_25_06_835.jpg,E:\IMG\left_2025_12_06_23_25_06_835.jpg,E:\IMG\right_2025_12_06_23_25_06_835.jpg,0,0,0,8.482931E-05
E:\IMG\center_2025_12_06_23_25_06_905.jpg,E:\IMG\left_2025_12_06_23_25_06_905.jpg,E:\IMG\right_2025_12_06_23_25_06_905.jpg,0,0,0,0.0001155006
E:\IMG\center_2025_12_06_23_25_06_979.jpg,E:\IMG\left_2025_12_06_23_25_06_979.jpg,E:\IMG\right_2025_12_06_23_25_06_979.jpg,0,0,0,0.0001259797
E:\IMG\center_2025_12_06_23_25_07_049.jpg,E:\IMG\left_2025_12_06_23_25_07_049.jpg,E:\IMG\right_2025_12_06_23_25_07_049.jpg,0,0,0,0.0001491669
E:\IMG\center_2025_12_06_23_25_07_119.jpg,E:\IMG\left_2025_12_06_23_25_07_119.jpg,E:\IMG\right_2025_12_06_23_25_07_119.jpg,0,0,0,0.0001889567
E:\IMG\center_2025_12_06_23_25_07_194.jpg,E:\IMG\left_2025_12_06_23_25_07_194.jpg,E:\IMG\right_2025_12_06_23_25_07_194.jpg,0,0,0,0.0002799369
E:\IMG\center_2025_12_06_23_25_07_264.jpg,E:\IMG\left_2025_12_06_23_25_07_264.jpg,E:\IMG\right_2025_12_06_23_25_07_264.jpg,0,0,0,0.0002791377
E:\IMG\center_2025_12_06_23_25_07_336.jpg,E:\IMG\left_2025_12_06_23_25_07_336.jpg,E:\IMG\right_2025_12_06_23_25_07_336.jpg,0,0,0,5.074689E-05
E:\IMG\center_2025_12_06_23_25_07_409.jpg,E:\IMG\left_2025_12_06_23_25_07_409.jpg,E:\IMG\right_2025_12_06_23_25_07_409.jpg,0,0.1342401,0,0.03983669
E:\IMG\center_2025_12_06_23_25_07_484.jpg,E:\IMG\left_2025_12_06_23_25_07_484.jpg,E:\IMG\right_2025_12_06_23_25_07_484.jpg,0,0.3580995,0,0.3201802
E:\IMG\center_2025_12_06_23_25_07_557.jpg,E:\IMG\left_2025_12_06_23_25_07_557.jpg,E:\IMG\right_2025_12_06_23_25_07_557.jpg,0,0.5381754,0,0.6320089
E:\IMG\center_2025_12_06_23_25_07_634.jpg,E:\IMG\left_2025_12_06_23_25_07_634.jpg,E:\IMG\right_2025_12_06_23_25_07_634.jpg,0,0.8057103,0,1.220504
